player_id,name,bat_style,bowl_style,bowl_type,role,age,bat_hand
1123718,Spencer Henry Johnson,Left-hand bat,Left-arm fast,pace,Bowler,30,left
290632,Sreenath Aravind,Left-hand bat,Left-arm medium-fast,pace,Bowler,41,left
529436,Kona Srikar Bharat,Right-hand bat,,,Wicketkeeper batter,32,right
267192,Steven Peter Devereux Smith,Right-hand bat,Legbreak googly,spin,Top-order batter,36,right
27223,Stuart Terence Roger Binny,Right-hand bat,Right-arm medium,pace,Allrounder,41,right
1131619,Sudhesan Midhun,Right-hand bat,Legbreak googly,spin,Bowler,31,right
1159734,Sumit Kumar,Right-hand bat,Right-arm medium-fast,pace,Allrounder,30,right
230558,Sunil Philip Narine,Left-hand bat,Right-arm offbreak,spin,Bowling allrounder,37,left
33335,Suresh Kumar Raina,Left-hand bat,Right-arm offbreak,spin,Middle-order batter,39,left
446507,Suryakumar Ashok Yadav,Right-hand bat,Right-arm medium,pace,Batter,35,right
1083851,Suyash S Prabhudessai,Right-hand bat,Right-arm medium,pace,Batting allrounder,28,right
1350792,Suyash Sharma,Right-hand bat,Legbreak googly,spin,Bowler,22,right
232292,Swapnil Singh,Right-hand bat,Slow left-arm orthodox,spin,Bowler,35,right
802575,Thangarasu Natarajan,Left-hand bat,Left-arm medium,pace,Bowler,34,left
379145,Tabraiz Shamsi,Right-hand bat,Left-arm wrist-spin,spin,Bowler,36,right
1125960,Tanush Karunakar Kotian,Right-hand bat,Right-arm offbreak,spin,Bowling allrounder,27,right
1082859,Tejas Baroka,Right-hand bat,Legbreak googly,spin,Bowler,30,right
233514,Narangoda Liyanaarachchilage Thisara Chirantha Perera,Left-hand bat,Right-arm medium-fast,pace,Bowling allrounder,36,left
1170265,Namboori Thakur Tilak Varma,Left-hand bat,Right-arm offbreak,spin,Batting allrounder,23,left
892749,Timothy Hays David,Right-hand bat,Right-arm offbreak,spin,Middle-order batter,30,right
625964,Tim Louis Seifert,Right-hand bat,,,Wicketkeeper batter,31,right
232364,Timothy Grant Southee,Right-hand bat,Right-arm medium-fast,pace,Bowler,37,right
877051,Tom Banton,Right-hand bat,,,Wicketkeeper batter,27,right
550235,Thomas Kevin Curran,Right-hand bat,Right-arm fast-medium,pace,Allrounder,31,right
470633,Tom Kohler-Cadmore,Right-hand bat,Right-arm offbreak,spin,Wicketkeeper batter,31,right
530011,Travis Michael Head,Left-hand bat,Right-arm offbreak,spin,Middle-order batter,32,left
277912,Trent Alexander Boult,Right-hand bat,Left-arm fast-medium,pace,Bowler,36,right
595978,Tristan Stubbs,Right-hand bat,Right-arm offbreak,spin,Batter,25,right
822553,Tushar Uday Deshpande,Left-hand bat,Right-arm medium,pace,Bowler,30,left
459257,Tymal Solomon Mills,Right-hand bat,Left-arm fast,pace,Bowler,33,right
376116,Umeshkumar Tilak Yadav,Right-hand bat,Right-arm fast,pace,Bowler,38,right
1246528,Umran Malik,Right-hand bat,Right-arm fast,pace,Bowler,26,right
446499,Unmukt Bharat Thakur Chand,Right-hand bat,Right-arm offbreak,spin,Wicketkeeper batter,32,right
215155,Usman Tariq Khawaja,Left-hand bat,Right-arm medium,pace,Top-order batter,39,left
1209292,Vaibhav Gopal Arora,Right-hand bat,Right-arm fast-medium,pace,Bowler,28,right
360911,Varun Raymond Aaron,Right-hand bat,Right-arm fast,pace,Bowler,36,right
1108375,Varun Chakravarthy Vinod,Right-hand bat,Legbreak googly,spin,Bowler,34,right
851403,Venkatesh Rajasekaran Iyer,Left-hand bat,Right-arm medium,pace,Allrounder,31,left
1155262,Vidwath Kaverappa,Right-hand bat,Right-arm fast-medium,pace,Bowler,27,right
477021,Vijay Shankar,Right-hand bat,Right-arm medium,pace,Allrounder,35,right
1153149,Vijayakanth Viyaskanth,Right-hand bat,Legbreak,spin,Bowler,24,right
777815,Vijaykumar Vyshak,Right-hand bat,Right-arm medium,pace,Bowler,29,right
35731,Ranganath Vinay Kumar,Right-hand bat,Right-arm medium,pace,Bowler,42,right
253802,Virat Kohli,Right-hand bat,Right-arm medium,pace,Top-order batter,37,right
720465,Virat Binod Singh,Left-hand bat,Legbreak googly,spin,Top-order batter,28,left
35263,Virender Sehwag,Right-hand bat,Right-arm offbreak,spin,Top-order batter,47,right
732293,Vishnu Vinod,Right-hand bat,,,Wicketkeeper batter,32,right
1252370,Vivrant Sharma,Left-hand bat,Legbreak googly,spin,Allrounder,26,left
784379,Pinnaduwage Wanindu Hasaranga de Silva,Right-hand bat,Legbreak,spin,Allrounder,28,right
719715,Washington Sundar,Left-hand bat,Right-arm offbreak,spin,Bowling allrounder,26,left
265564,Wayne Dillon Parnell,Left-hand bat,Left-arm medium-fast,pace,Bowler,36,left
897549,William George Jacks,Right-hand bat,Right-arm offbreak,spin,Batting allrounder,27,right
279810,Wriddhiman Prasanta Saha,Right-hand bat,,,Wicketkeeper batter,41,right
1159720,Yash Dayal,Right-hand bat,Left-arm medium-fast,pace,Bowler,28,right
1292498,Yash Vijay Dhull,Right-hand bat,Right-arm offbreak,spin,Top-order batter,23,right
1070196,Yash Ravisingh Thakur,Right-hand bat,Right-arm fast-medium,pace,Bowler,27,right
1151278,Yashasvi Bhupendra Kumar Jaiswal,Left-hand bat,Legbreak,spin,Opening batter,24,left
1206052,Yudhvir Singh Charak,Right-hand bat,Right-arm medium-fast,pace,Bowler,28,right
32498,Yusuf Khan Pathan,Right-hand bat,Right-arm offbreak,spin,Allrounder,43,right
36084,Yuvraj Singh,Left-hand bat,Slow left-arm orthodox,spin,Middle-order batter,44,left
430246,Yuzvendra Singh Chahal,Right-hand bat,Legbreak googly,spin,Bowler,35,right
30102,Zaheer Khan,Right-hand bat,Left-arm fast-medium,pace,Bowler,47,right
1409976,Aniket Umashankar Verma,Right-hand bat,Right-arm medium-fast,pace,Batter,24,right
1209126,Ashwani Kumar,Left-hand bat,Left-arm medium,pace,Bowler,24,left
1452455,Ayush Mhatre,Right-hand bat,Right-arm offbreak,spin,Top-order batter,18,right
594322,Corbin Bosch,Right-hand bat,Right-arm fast-medium,pace,Allrounder,31,right
1460529,Digvesh Singh Rathi,Right-hand bat,Legbreak,spin,Bowler,26,right
1306214,Kiribathgala Kankanamalage Eshan Malinga Dharmasena,Left-hand bat,Right-arm fast-medium,pace,Bowler,25,left
1216159,Harsh Surendra Dubey,Left-hand bat,Slow left-arm orthodox,spin,Bowling allrounder,23,left
1194959,Jacob Graham Bethell,Left-hand bat,Slow left-arm orthodox,spin,Batting allrounder,22,left
510530,Jamie Overton,Right-hand bat,Right-arm fast,pace,Bowling allrounder,31,right
662235,Joshua Patrick Inglis,Right-hand bat,,,Wicketkeeper batter,31,right
784373,Pasqual Handi Kamindu Dilanka Mendis,Left-hand bat,Right-arm offbreak,spin,Allrounder,27,left
793467,Karim Janat,Right-hand bat,Right-arm medium,pace,Batting allrounder,27,right
1339031,Kunal Singh Rathore,Left-hand bat,,,Wicketkeeper batter,23,left
629074,Balapuwaduge Kusal Gimhan Mendis,Right-hand bat,Legbreak,spin,Wicketkeeper batter,31,right
1460385,Madhav Tiwari,Right-hand bat,Right-arm medium-fast,pace,Allrounder,22,right
1057399,Manoj Shivaramsa Bhandage,Left-hand bat,Right-arm medium-fast,pace,Allrounder,27,left
595267,Matthew Paul Breetzke,Right-hand bat,,,Batter,27,right
1213979,Mitchell J Owen,Right-hand bat,Right-arm medium,pace,Allrounder,24,right
1316430,Musheer Khan,Right-hand bat,Slow left-arm orthodox,spin,Allrounder,21,right
1350768,Prince Yadav,Right-hand bat,Right-arm fast,pace,Bowler,24,right
1175456,Priyansh Arya,Left-hand bat,Right-arm offbreak,spin,Opening batter,24,left
1350762,Robin Minz,Left-hand bat,Slow left-arm orthodox,spin,Wicketkeeper batter,23,left
605661,Ryan David Rickelton,Left-hand bat,,,Wicketkeeper batter,29,left
1392201,Penumatsa Venkata Satyanarayana Raju,Right-hand bat,Right-arm medium-fast,pace,Bowler,26,right
1161050,Sediqullah Atal,Left-hand bat,,,Opening batter,24,left
1292497,Shaik Rasheed,Right-hand bat,Legbreak,spin,Batter,21,right
1339698,Suryansh Shedge,Right-hand bat,Right-arm medium-fast,pace,Batting allrounder,23,right
1131570,Urvil Mukesh Patel,Right-hand bat,,,Wicketkeeper batter,27,right
1408688,Vaibhav Sooryavanshi,Left-hand bat,Slow left-arm orthodox,spin,Top-order batter,14,left
1460388,Vignesh Puthur,Right-hand bat,Left-arm wrist-spin,spin,Bowler,25,right
1449074,Vipraj Nigam,Right-hand bat,Legbreak,spin,Bowler,21,right
698189,Pieter Willem Adriaan Mulder,Right-hand bat,Right-arm medium,pace,Allrounder,28,right
1211825,William Peter O'Rourke,Right-hand bat,Right-arm fast,pace,Bowler,24,right
1050545,Xavier Colin Bartlett,Right-hand bat,Right-arm fast-medium,pace,Bowler,27,right
942371,Zeeshan Ansari,Right-hand bat,Legbreak googly,spin,Bowler,26,right
